label	p-value
ENSG00000198886.2	6.8761273176717e-09
ENSG00000198804.2	1.0131788379697242e-08
ENSG00000210082.2	2.8912699452012848e-08
ENSG00000198938.2	5.001990975977994e-08
ENSG00000198712.1	5.001990975977994e-08
ENSG00000198763.3	1.0816713463553605e-07
ENSG00000198727.2	1.1955373851047062e-07
ENSG00000156508.17	3.1745823709751816e-07
ENSG00000198899.2	3.3889233970376897e-07
ENSG00000198888.2	4.2915108088887405e-07
ENSG00000167658.15	5.598847989620377e-07
ENSG00000150991.14	5.754391752813863e-07
ENSG00000075624.13	7.704463353640323e-07
ENSG00000167996.15	7.755331190154018e-07
ENSG00000133112.16	9.67404706860057e-07
ENSG00000198786.2	1.0074767617190964e-06
ENSG00000111640.14	1.6951902549321211e-06
ENSG00000142541.16	2.0985367353999976e-06
ENSG00000174444.14	2.108073333986616e-06
ENSG00000198840.2	3.0257919421554967e-06
ENSG00000184009.9	3.0304439864001845e-06
ENSG00000280800.1	3.0862305206972254e-06
ENSG00000197746.13	3.345673119119236e-06
ENSG00000087086.14	3.7139301573703666e-06
ENSG00000254772.9	3.805588786599959e-06
ENSG00000167526.13	3.961057517722661e-06
ENSG00000100316.15	4.2343854878195264e-06
ENSG00000147403.16	4.352438763823389e-06
ENSG00000167978.16	4.759384313643666e-06
ENSG00000100201.20	5.378667353708945e-06
ENSG00000087460.24	5.8730747652432615e-06
ENSG00000137154.12	6.430688926942801e-06
ENSG00000148303.16	6.461562097715909e-06
ENSG00000174748.18	7.918744538997642e-06
ENSG00000142534.6	8.070695667221253e-06
ENSG00000211459.2	8.226768006813258e-06
ENSG00000089157.15	8.680744606171707e-06
ENSG00000108654.13	8.719573661374396e-06
ENSG00000122566.20	9.068463955631448e-06
ENSG00000229117.8	9.583514656461536e-06
ENSG00000173812.10	9.592080997721931e-06
ENSG00000108298.9	1.076471817548881e-05
ENSG00000161016.17	1.0807171898102982e-05
ENSG00000149925.17	1.0866585933850476e-05
ENSG00000245532.7	1.172539769537195e-05
ENSG00000137818.11	1.3124025124967082e-05
ENSG00000135486.17	1.521133508930504e-05
ENSG00000251562.7	1.5999532009045864e-05
ENSG00000110321.16	1.6406874431140644e-05
ENSG00000168028.13	1.7669199181798425e-05
ENSG00000142937.11	1.7881606665558417e-05
ENSG00000165119.20	1.7963248787432493e-05
ENSG00000166710.17	1.8020380854972197e-05
ENSG00000231500.6	1.882688379238881e-05
ENSG00000149273.14	1.9001668612085666e-05
ENSG00000204628.11	1.9265636907446037e-05
ENSG00000096384.19	2.180581626124246e-05
ENSG00000205542.10	2.234783554787058e-05
ENSG00000198034.10	2.262846572396663e-05
ENSG00000104904.12	2.2636479601271317e-05
ENSG00000140988.15	2.3931773986496576e-05
ENSG00000144713.12	2.457728399108288e-05
ENSG00000198695.2	2.4708607441111145e-05
ENSG00000122406.12	2.5459652822140053e-05
ENSG00000139644.12	2.6078207403267168e-05
ENSG00000080824.18	2.62207802867864e-05
ENSG00000089009.15	2.6414736438427172e-05
ENSG00000145425.9	2.6790444084337167e-05
ENSG00000143761.15	2.8698037457828975e-05
ENSG00000196531.10	2.927140020684018e-05
ENSG00000186468.12	2.9389099575507304e-05
ENSG00000124942.13	2.9624382135770943e-05
ENSG00000153187.18	2.970277541321602e-05
ENSG00000212907.2	3.0153207547928023e-05
ENSG00000110955.8	3.0321487128345978e-05
ENSG00000197111.15	3.075162024004103e-05
ENSG00000143947.13	3.0904002353667914e-05
ENSG00000197756.9	3.0915721478824666e-05
ENSG00000228253.1	3.2451697155654926e-05
ENSG00000112306.7	3.3135856815282644e-05
ENSG00000009307.15	3.313585681528325e-05
ENSG00000105640.12	3.4686442616893095e-05
ENSG00000187514.16	3.629293522267315e-05
ENSG00000170889.13	3.863410516058316e-05
ENSG00000074800.13	4.146673023540945e-05
ENSG00000166441.12	4.264685265856713e-05
ENSG00000109971.13	4.396833582155301e-05
ENSG00000196924.14	4.402521950903957e-05
ENSG00000108107.14	4.528643791017795e-05
ENSG00000092841.18	4.904493167157939e-05
ENSG00000188846.13	4.905995979929243e-05
ENSG00000162244.10	4.991591117964861e-05
ENSG00000106682.14	5.02871788895228e-05
ENSG00000147604.13	5.448994283016427e-05
ENSG00000100345.20	5.525268992612137e-05
ENSG00000164587.11	5.576563188292643e-05
ENSG00000063177.12	5.697573834128707e-05
ENSG00000008988.9	5.833165441767822e-05
ENSG00000172270.18	6.141854613094171e-05
ENSG00000156482.10	6.293111179231401e-05
ENSG00000115677.16	6.362559165685518e-05
ENSG00000067560.10	6.380553248381403e-05
ENSG00000167615.16	6.394871865147713e-05
ENSG00000142676.12	6.576730509043707e-05
ENSG00000132475.10	6.68577774169604e-05
ENSG00000104852.14	6.746453641298763e-05
ENSG00000152234.15	6.863647782741644e-05
ENSG00000104964.14	6.935482434710554e-05
ENSG00000145592.13	6.961720165758503e-05
ENSG00000178209.14	7.107325952829115e-05
ENSG00000177600.8	7.505664672714948e-05
ENSG00000221983.7	7.518692386495635e-05
ENSG00000072778.19	7.550529389069775e-05
ENSG00000118181.10	7.565358420181084e-05
ENSG00000198755.10	7.669088870232808e-05
ENSG00000092199.17	7.819220588810587e-05
ENSG00000124614.13	7.827513527715237e-05
ENSG00000196262.13	7.960453510177113e-05
ENSG00000177954.11	7.960453510177362e-05
ENSG00000161011.19	8.214968194837753e-05
ENSG00000172757.12	8.412908255800666e-05
ENSG00000115524.15	8.435472228213606e-05
ENSG00000170315.13	8.612571269080945e-05
ENSG00000197958.12	8.775424334195511e-05
ENSG00000130985.16	8.875998175618861e-05
ENSG00000087274.16	8.933727594709481e-05
ENSG00000140264.19	9.246731061390056e-05
ENSG00000100650.15	9.252057860654011e-05
ENSG00000164924.17	9.615399590151302e-05
ENSG00000128272.14	9.75826088186659e-05
ENSG00000168066.20	9.855042324913074e-05
ENSG00000265681.7	0.00010352768463816747
ENSG00000198563.13	0.00010546252565888285
ENSG00000105372.6	0.00010694916301428859
ENSG00000182944.17	0.00010697018650651555
ENSG00000063046.17	0.00010823089639306425
ENSG00000135821.17	0.00010941332044277135
ENSG00000070756.15	0.00010963707709485144
ENSG00000026025.15	0.00011305112270206583
ENSG00000169714.16	0.00011313478089680123
ENSG00000137497.17	0.00011350420217866295
ENSG00000170144.20	0.0001148380644112537
ENSG00000083845.8	0.00011627478425959435
ENSG00000109332.19	0.00011857425354577274
ENSG00000075415.12	0.000122967079272911
ENSG00000111669.14	0.0001230293305277543
ENSG00000198668.10	0.00012320223511082042
ENSG00000105193.8	0.00012423918358543939
ENSG00000204256.12	0.00012675213445560588
