label	p-value
ENSG00000198886.2	6.38759164197233e-09
ENSG00000198804.2	1.2390256739877457e-08
ENSG00000198763.3	4.6481614606844845e-08
ENSG00000210082.2	6.837141634740194e-08
ENSG00000198899.2	1.1814099367871775e-07
ENSG00000198938.2	1.5294586674733861e-07
ENSG00000198727.2	1.8046468032310556e-07
ENSG00000198888.2	3.8752071953787977e-07
ENSG00000156508.17	4.136682140200325e-07
ENSG00000198712.1	4.3971690962126434e-07
ENSG00000198786.2	6.069922654015943e-07
ENSG00000133112.16	9.399294479838007e-07
ENSG00000280800.1	9.461308686362034e-07
ENSG00000198840.2	1.0080065178847422e-06
ENSG00000075624.13	1.573536027096045e-06
ENSG00000167996.15	1.687279195291135e-06
ENSG00000211459.2	1.8895867186736914e-06
ENSG00000167658.15	2.007913239917722e-06
ENSG00000150991.14	2.424411744108966e-06
ENSG00000198695.2	2.720576998911431e-06
ENSG00000212907.2	2.8361105591879356e-06
ENSG00000197746.13	3.369331576508664e-06
ENSG00000111640.14	3.3864305199934453e-06
ENSG00000174444.14	4.150138410441716e-06
ENSG00000166710.17	4.603543626099685e-06
ENSG00000096384.19	5.798041061536167e-06
ENSG00000251562.7	5.935084821664874e-06
ENSG00000087086.14	6.399360494157703e-06
ENSG00000112096.16	6.508241172957223e-06
ENSG00000254772.9	7.23444014503011e-06
ENSG00000174748.18	7.617029438137195e-06
ENSG00000229117.8	7.751404675512283e-06
ENSG00000127022.14	7.912428977499227e-06
ENSG00000124942.13	8.297911857077063e-06
ENSG00000147604.13	8.644779714738171e-06
ENSG00000110321.16	8.745975090355866e-06
ENSG00000137154.12	9.064973166161496e-06
ENSG00000184009.9	9.563069025799982e-06
ENSG00000009307.15	9.795548371417812e-06
ENSG00000087460.24	1.0190872665356685e-05
ENSG00000145425.9	1.1464043523779188e-05
ENSG00000080824.18	1.3010924749720512e-05
ENSG00000135486.17	1.302125712001972e-05
ENSG00000135821.17	1.3041919972269618e-05
ENSG00000283907.1	1.567754074544769e-05
ENSG00000100316.15	1.572845766981578e-05
ENSG00000142541.16	1.5759001651220603e-05
ENSG00000173812.10	1.686064472317612e-05
ENSG00000122566.20	1.7351242689952008e-05
ENSG00000142534.6	1.756837402397871e-05
ENSG00000122406.12	1.8097696957867642e-05
ENSG00000265972.5	1.8801570591190827e-05
ENSG00000109971.13	1.886180460732642e-05
ENSG00000139644.12	1.9107602641688917e-05
ENSG00000198034.10	1.9533394867891247e-05
ENSG00000164733.20	1.9963447312300358e-05
ENSG00000165119.20	2.115975209348108e-05
ENSG00000089009.15	2.1979066634172112e-05
ENSG00000067560.10	2.3654819974531275e-05
ENSG00000008988.9	2.5110188637750533e-05
ENSG00000198668.10	2.6753987677846406e-05
ENSG00000231500.6	2.8719639361294923e-05
ENSG00000196531.10	2.9533756265826506e-05
ENSG00000138326.18	2.9978797410420812e-05
ENSG00000063046.17	3.0012636855090233e-05
ENSG00000197111.15	3.063086445086354e-05
ENSG00000142676.12	3.1715111830167926e-05
