"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","RNA binding","GO:0003723","2.6342267967077065e-53","52.579346836694484","1899","167","101","18062","ENSG00000156508,ENSG00000133112,ENSG00000167658,ENSG00000150991,ENSG00000174444,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000229117,ENSG00000127022,ENSG00000124942,ENSG00000147604,ENSG00000110321,ENSG00000137154,ENSG00000009307,ENSG00000145425,ENSG00000080824,ENSG00000135486,ENSG00000100316,ENSG00000142541,ENSG00000173812,ENSG00000122566,ENSG00000142534,ENSG00000122406,ENSG00000109971,ENSG00000198034,ENSG00000165119,ENSG00000089009,ENSG00000008988,ENSG00000231500,ENSG00000138326,ENSG00000063046,ENSG00000197111,ENSG00000142676,ENSG00000186468,ENSG00000108298,ENSG00000100345,ENSG00000161016,ENSG00000026025,ENSG00000115053,ENSG00000149273,ENSG00000215301,ENSG00000161970,ENSG00000153187,ENSG00000169714,ENSG00000125691,ENSG00000205542,ENSG00000070756,ENSG00000188846,ENSG00000144713,ENSG00000164924,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000108953,ENSG00000071082,ENSG00000265681,ENSG00000181163,ENSG00000089157,ENSG00000147403,ENSG00000167526,ENSG00000092199,ENSG00000167978,ENSG00000179218,ENSG00000196262,ENSG00000065978,ENSG00000166598,ENSG00000156976,ENSG00000189403,ENSG00000100201,ENSG00000112306,ENSG00000141367,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145741,ENSG00000069275,ENSG00000145592,ENSG00000115306,ENSG00000116251,ENSG00000170144,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000152234,ENSG00000142864,ENSG00000115677,ENSG00000159140,ENSG00000106682,ENSG00000107581,ENSG00000163682,ENSG00000182774,ENSG00000115310,ENSG00000165280,ENSG00000170889,ENSG00000168028,ENSG00000079246,ENSG00000184110"
"GO:MF","structural constituent of ribosome","GO:0003735","2.850527053137165e-53","52.54507483293649","171","163","46","18062","ENSG00000174444,ENSG00000174748,ENSG00000229117,ENSG00000147604,ENSG00000137154,ENSG00000145425,ENSG00000100316,ENSG00000142541,ENSG00000142534,ENSG00000122406,ENSG00000198034,ENSG00000089009,ENSG00000008988,ENSG00000231500,ENSG00000138326,ENSG00000142676,ENSG00000186468,ENSG00000108298,ENSG00000161016,ENSG00000149273,ENSG00000161970,ENSG00000125691,ENSG00000188846,ENSG00000144713,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000071082,ENSG00000265681,ENSG00000089157,ENSG00000147403,ENSG00000167526,ENSG00000112306,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145592,ENSG00000116251,ENSG00000109475,ENSG00000114391,ENSG00000163682,ENSG00000182774,ENSG00000170889,ENSG00000168028"
"GO:MF","structural molecule activity","GO:0005198","2.0327212963964757e-32","31.691922162795553","727","168","55","18062","ENSG00000075624,ENSG00000174444,ENSG00000174748,ENSG00000229117,ENSG00000124942,ENSG00000147604,ENSG00000137154,ENSG00000184009,ENSG00000145425,ENSG00000100316,ENSG00000142541,ENSG00000142534,ENSG00000122406,ENSG00000198034,ENSG00000089009,ENSG00000008988,ENSG00000231500,ENSG00000138326,ENSG00000142676,ENSG00000186468,ENSG00000108298,ENSG00000161016,ENSG00000026025,ENSG00000149273,ENSG00000161970,ENSG00000125691,ENSG00000188846,ENSG00000144713,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000071082,ENSG00000265681,ENSG00000196230,ENSG00000089157,ENSG00000147403,ENSG00000167526,ENSG00000112306,ENSG00000141367,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145592,ENSG00000115306,ENSG00000116251,ENSG00000109475,ENSG00000114391,ENSG00000107581,ENSG00000163682,ENSG00000182774,ENSG00000170889,ENSG00000168028,ENSG00000113140"
"GO:MF","nucleic acid binding","GO:0003676","5.116591478542563e-26","25.291019256801047","4355","167","108","18062","ENSG00000156508,ENSG00000133112,ENSG00000075624,ENSG00000167658,ENSG00000150991,ENSG00000174444,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000229117,ENSG00000127022,ENSG00000124942,ENSG00000147604,ENSG00000110321,ENSG00000137154,ENSG00000009307,ENSG00000145425,ENSG00000080824,ENSG00000135486,ENSG00000100316,ENSG00000142541,ENSG00000173812,ENSG00000122566,ENSG00000142534,ENSG00000122406,ENSG00000109971,ENSG00000198034,ENSG00000165119,ENSG00000089009,ENSG00000008988,ENSG00000231500,ENSG00000196531,ENSG00000138326,ENSG00000063046,ENSG00000197111,ENSG00000142676,ENSG00000186468,ENSG00000108298,ENSG00000100345,ENSG00000161016,ENSG00000026025,ENSG00000115053,ENSG00000149273,ENSG00000215301,ENSG00000161970,ENSG00000153187,ENSG00000169714,ENSG00000125691,ENSG00000205542,ENSG00000070756,ENSG00000188846,ENSG00000144713,ENSG00000164924,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000108953,ENSG00000071082,ENSG00000265681,ENSG00000181163,ENSG00000089157,ENSG00000147403,ENSG00000167526,ENSG00000092199,ENSG00000167978,ENSG00000179218,ENSG00000196262,ENSG00000065978,ENSG00000166598,ENSG00000142192,ENSG00000084234,ENSG00000156976,ENSG00000189403,ENSG00000100201,ENSG00000112306,ENSG00000141367,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145741,ENSG00000119335,ENSG00000069275,ENSG00000145592,ENSG00000115306,ENSG00000116251,ENSG00000170144,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000152234,ENSG00000142864,ENSG00000115677,ENSG00000159140,ENSG00000106682,ENSG00000107581,ENSG00000163682,ENSG00000182774,ENSG00000115310,ENSG00000165280,ENSG00000107372,ENSG00000170889,ENSG00000168028,ENSG00000163041,ENSG00000079246,ENSG00000184110"
"GO:MF","heterocyclic compound binding","GO:1901363","1.8047923259341042e-23","22.74357276433436","6279","167","125","18062","ENSG00000198804,ENSG00000198727,ENSG00000156508,ENSG00000133112,ENSG00000075624,ENSG00000167658,ENSG00000150991,ENSG00000111640,ENSG00000174444,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000229117,ENSG00000127022,ENSG00000124942,ENSG00000147604,ENSG00000110321,ENSG00000137154,ENSG00000184009,ENSG00000009307,ENSG00000087460,ENSG00000145425,ENSG00000080824,ENSG00000135486,ENSG00000135821,ENSG00000100316,ENSG00000142541,ENSG00000173812,ENSG00000122566,ENSG00000142534,ENSG00000122406,ENSG00000109971,ENSG00000198034,ENSG00000165119,ENSG00000089009,ENSG00000067560,ENSG00000008988,ENSG00000231500,ENSG00000196531,ENSG00000138326,ENSG00000063046,ENSG00000197111,ENSG00000142676,ENSG00000136156,ENSG00000186468,ENSG00000108298,ENSG00000100345,ENSG00000108946,ENSG00000161016,ENSG00000026025,ENSG00000115053,ENSG00000149273,ENSG00000215301,ENSG00000161970,ENSG00000153187,ENSG00000109332,ENSG00000169714,ENSG00000125691,ENSG00000205542,ENSG00000070756,ENSG00000188846,ENSG00000144713,ENSG00000164924,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000108953,ENSG00000071082,ENSG00000265681,ENSG00000181163,ENSG00000110955,ENSG00000196230,ENSG00000134333,ENSG00000089157,ENSG00000147403,ENSG00000075785,ENSG00000167526,ENSG00000092199,ENSG00000167978,ENSG00000179218,ENSG00000196262,ENSG00000065978,ENSG00000136238,ENSG00000166598,ENSG00000142192,ENSG00000084234,ENSG00000156976,ENSG00000100380,ENSG00000189403,ENSG00000100201,ENSG00000112306,ENSG00000141367,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145741,ENSG00000119335,ENSG00000069275,ENSG00000145592,ENSG00000115306,ENSG00000116251,ENSG00000170144,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000152234,ENSG00000142864,ENSG00000115677,ENSG00000159140,ENSG00000106682,ENSG00000107581,ENSG00000163682,ENSG00000182774,ENSG00000115310,ENSG00000113712,ENSG00000165280,ENSG00000107372,ENSG00000170889,ENSG00000168028,ENSG00000163041,ENSG00000079246,ENSG00000184110"
"GO:MF","organic cyclic compound binding","GO:0097159","7.540901260246274e-23","22.122576745779998","6366","167","125","18062","ENSG00000198804,ENSG00000198727,ENSG00000156508,ENSG00000133112,ENSG00000075624,ENSG00000167658,ENSG00000150991,ENSG00000111640,ENSG00000174444,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000229117,ENSG00000127022,ENSG00000124942,ENSG00000147604,ENSG00000110321,ENSG00000137154,ENSG00000184009,ENSG00000009307,ENSG00000087460,ENSG00000145425,ENSG00000080824,ENSG00000135486,ENSG00000135821,ENSG00000100316,ENSG00000142541,ENSG00000173812,ENSG00000122566,ENSG00000142534,ENSG00000122406,ENSG00000109971,ENSG00000198034,ENSG00000165119,ENSG00000089009,ENSG00000067560,ENSG00000008988,ENSG00000231500,ENSG00000196531,ENSG00000138326,ENSG00000063046,ENSG00000197111,ENSG00000142676,ENSG00000136156,ENSG00000186468,ENSG00000108298,ENSG00000100345,ENSG00000108946,ENSG00000161016,ENSG00000026025,ENSG00000115053,ENSG00000149273,ENSG00000215301,ENSG00000161970,ENSG00000153187,ENSG00000109332,ENSG00000169714,ENSG00000125691,ENSG00000205542,ENSG00000070756,ENSG00000188846,ENSG00000144713,ENSG00000164924,ENSG00000164587,ENSG00000148303,ENSG00000142937,ENSG00000122026,ENSG00000108953,ENSG00000071082,ENSG00000265681,ENSG00000181163,ENSG00000110955,ENSG00000196230,ENSG00000134333,ENSG00000089157,ENSG00000147403,ENSG00000075785,ENSG00000167526,ENSG00000092199,ENSG00000167978,ENSG00000179218,ENSG00000196262,ENSG00000065978,ENSG00000136238,ENSG00000166598,ENSG00000142192,ENSG00000084234,ENSG00000156976,ENSG00000100380,ENSG00000189403,ENSG00000100201,ENSG00000112306,ENSG00000141367,ENSG00000143947,ENSG00000197756,ENSG00000156482,ENSG00000110700,ENSG00000145741,ENSG00000119335,ENSG00000069275,ENSG00000145592,ENSG00000115306,ENSG00000116251,ENSG00000170144,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000152234,ENSG00000142864,ENSG00000115677,ENSG00000159140,ENSG00000106682,ENSG00000107581,ENSG00000163682,ENSG00000182774,ENSG00000115310,ENSG00000113712,ENSG00000165280,ENSG00000107372,ENSG00000170889,ENSG00000168028,ENSG00000163041,ENSG00000079246,ENSG00000184110"
"GO:MF","rRNA binding","GO:0019843","1.0120139434878638e-16","15.994813503762899","62","162","16","18062","ENSG00000167658,ENSG00000100316,ENSG00000142534,ENSG00000122406,ENSG00000198034,ENSG00000231500,ENSG00000142676,ENSG00000161016,ENSG00000149273,ENSG00000125691,ENSG00000164587,ENSG00000089157,ENSG00000110700,ENSG00000145592,ENSG00000163682,ENSG00000170889"
"GO:MF","cadherin binding","GO:0045296","4.549210823175059e-15","14.34206393628062","324","158","26","18062","ENSG00000167658,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000124942,ENSG00000110321,ENSG00000109971,ENSG00000165119,ENSG00000089009,ENSG00000100345,ENSG00000150093,ENSG00000215301,ENSG00000188846,ENSG00000164924,ENSG00000148303,ENSG00000108953,ENSG00000134333,ENSG00000115306,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000142864,ENSG00000115677,ENSG00000106682,ENSG00000115310"
"GO:MF","cell adhesion molecule binding","GO:0050839","2.1055653777437165e-12","11.676631269203332","497","158","28","18062","ENSG00000167658,ENSG00000096384,ENSG00000254772,ENSG00000174748,ENSG00000124942,ENSG00000110321,ENSG00000109971,ENSG00000165119,ENSG00000089009,ENSG00000100345,ENSG00000150093,ENSG00000215301,ENSG00000188846,ENSG00000164924,ENSG00000148303,ENSG00000108953,ENSG00000134333,ENSG00000179218,ENSG00000189403,ENSG00000115306,ENSG00000149925,ENSG00000109475,ENSG00000196924,ENSG00000114391,ENSG00000142864,ENSG00000115677,ENSG00000106682,ENSG00000115310"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","1.7549342732923018e-11","10.755739144315534","290","166","22","18062","ENSG00000150991,ENSG00000096384,ENSG00000184009,ENSG00000080824,ENSG00000122406,ENSG00000265972,ENSG00000109971,ENSG00000139644,ENSG00000197111,ENSG00000142676,ENSG00000108946,ENSG00000109332,ENSG00000125691,ENSG00000164924,ENSG00000108953,ENSG00000196230,ENSG00000179218,ENSG00000170315,ENSG00000143947,ENSG00000115310,ENSG00000165280,ENSG00000079246"
